"provincia	poblacion	codigopostalid	lat	lon	"
"Madrid	Valdeolmos-Alalpardo	28130	-3.474563520	40.629569630	"
"Madrid	ValdepiÃ©lagos	28170	-3.463696510	40.762842970	"
"Madrid	Valdetorres de Jarama	28150	-3.512610800	40.695594510	"
"Madrid	Valdilecha	28511	-3.303707530	40.295013860	"
"Madrid	Valverde de AlcalÃ¡	28812	-3.298509310	40.418940100	"
"Madrid	Velilla de San Antonio	28891	-3.488274820	40.366332150	"
"Madrid	El VellÃ³n	28722	-3.581492820	40.765986250	"
"Madrid	Venturada	28729	-3.617799840	40.799633840	"
"Madrid	Villaconejos	28360	-3.485679100	40.103920240	"
"Madrid	Villa del Prado	28630	-4.305531510	40.276432030	"
"Madrid	Villalbilla	28810	-3.297791590	40.432662900	"
"Madrid	Villamanrique de Tajo	28598	-3.238613660	40.067776880	"
"Madrid	Villamanta	28610	-4.107635630	40.300558690	"
"Madrid	Villamantilla	28609	-4.129779720	40.338678110	"
"Madrid	Villanueva de la CaÃ±ada	28691	-4.003408140	40.447752900	"
"Madrid	Villanueva de la CaÃ±ada	28692	-4.003408140	40.447752900	"
"Madrid	Villanueva del Pardillo	28229	-3.964383460	40.489544100	"
"Madrid	Villanueva de Perales	28609	-4.101258680	40.346998130	"
"Madrid	Villar del Olmo	28512	-3.235360010	40.336173070	"
"Madrid	Villar del Olmo	28514	-3.235360010	40.336173070	"
"Madrid	Villarejo de SalvanÃ©s	28590	-3.272326260	40.167834740	"
"Madrid	Villaviciosa de OdÃ³n	28670	-3.896484280	40.357648780	"
"Madrid	Villavieja del Lozoya	28739	-3.670805960	41.005988870	"
"Madrid	Zarzalejo	28293	-4.182479350	40.548237890	"
"Madrid	Lozoyuela-Navas-Sieteiglesias	28752	-3.618396740	40.927819810	"
"Madrid	Lozoyuela-Navas-Sieteiglesias	28753	-3.618396740	40.927819810	"
"Madrid	Lozoyuela-Navas-Sieteiglesias	28754	-3.618396740	40.927819810	"
"Madrid	Puentes Viejas	28195	-3.583264550	40.964450110	"
"Madrid	Puentes Viejas	28196	-3.583264550	40.964450110	"
"Madrid	Puentes Viejas	28754	-3.583264550	40.964450110	"
"Madrid	Tres Cantos	28760	-3.704205900	40.604905350	"
"Madrid	Tres Cantos	28761	-3.704205900	40.604905350	"
